zoneId;Attractivity:Business;Attractivity:Leisure_Indoor;Attractivity:Leisure_Outdoor;Attractivity:Private_Business;Attractivity:Private_Visit;Attractivity:Service;Attractivity:Shopping_Daily;Attractivity:Shopping_Other;Attractivity:Shopping;Attractivity:Work;Attractivity:Education_Primary;Attractivity:Education_Secondary;Attractivity:Education_Tertiary;Attractivity:Sightseeing
2419;121,62;342,95;231,07;0;1283;319,28;0;286,63;286,63;121,62;0;0;0;0
2420;2377,74;664,47;4763,14;81,2;2441;405,38;1999,33;16420,71;18420,04;2377,74;0;0;0;0
2421;1588,61;526,29;581,64;195;1788;480,87;1805,93;996,21;2802,14;1588,61;148;0;0;80
2422;1134,32;224,1;2194,5;10;2647;620,61;932,33;7114,39;8046,72;1134,32;0;0;0;0
2423;674,64;571,77;1685,15;931,15;3852;541,59;4621,88;1261,34;5883,22;674,64;194;0;0;820
2424;201,04;162,27;166,31;195;1248;340,55;150;777,64;927,64;201,04;0;0;0;0
2425;226,8;581,22;6762,16;50;1965;478,5;150;724,42;874,42;226,8;0;0;0;0
2426;4568,29;3607,49;4138,28;2661,43;8896;978,54;11279,23;8674,47;19953,7;4568,29;452;1662;0;0
2427;178,98;0;864,76;0;747;184,41;0;0;0;178,98;0;0;0;0
2428;1155,66;294,9;1357,81;11,8;1543;636,3;150;0;150;1155,66;0;0;0;0
2429;110,86;325,6;1314,99;45,65;1459;611,87;392,25;1100,04;1492,29;110,86;121;0;0;0
2430;170,71;187,48;730,96;0;1711;861,23;0;371,58;371,58;170,71;0;0;0;0
2431;225,85;0;0;195;1275;304,23;1026,92;0;1026,92;225,85;0;0;0;0
2432;847,44;409,25;3918,83;1465,4;4078;3372,76;9808,87;3570,42;13379,29;847,44;180;0;0;70
2433;363,33;416,91;598,56;62;2885;1409,58;1602;16141,05;17743,05;363,33;130;0;0;0
2434;18,42;0;0;0;1258;23,9;244,59;0;244,59;18,42;0;0;0;0
2435;448,28;306,87;1069,23;103,05;1604;801,6;450;1756,13;2206,13;448,28;0;0;0;10
2436;343,76;88,2;1142,91;581,7;2743;1250,88;244,59;0;244,59;343,76;206;0;0;0
2437;186,64;1770,76;238,2;276,45;1728;209,49;0;0;0;186,64;0;0;0;0
2438;41,29;0;136,6;0;561;208,68;0;392,41;392,41;41,29;0;0;0;0
2439;315,28;224,1;378,8;21;1679;205,48;0;3152,84;3152,84;315,28;0;0;0;0
2440;258,44;436,58;0;205;1963;177,3;150;242,55;392,55;258,44;0;0;0;0
2441;212,46;151,18;1051,75;0;1967;1678,39;0;757,93;757,93;212,46;0;0;0;0
2442;352,98;811,35;625,02;1011,85;2396;767,87;1699,33;2429,94;4129,27;352,98;132;0;0;0
2443;665,41;112,05;622,15;390;1957;553,13;0;0;0;665,41;219;0;0;0
2444;402,97;3424,89;4620,77;1250,24;5239;2765,17;4148,67;3247,67;7396,34;402,97;271;0;0;0
